Time [s],Value
1.027946312500000,0b  0000  0000  0000  0101
1.027947312500000,0b  0000  0000  0000  0101
1.027948312500000,0b  0000  0000  0000  0101
1.027949312500000,0b  0000  0000  0000  0101
1.027950312500000,0b  0000  0000  0000  0101
1.027951312500000,0b  0000  0000  0000  0101
1.027952312500000,0b  0000  0000  0000  0101
1.027953312500000,0b  0000  0000  0000  0101
1.027954312500000,0b  0000  0000  0000  0101
1.027955312500000,0b  0000  0000  0000  0101
1.027956312500000,0b  0000  0000  0000  0101
1.027957312500000,0b  0000  0000  0000  0101
1.027958312500000,0b  0000  0000  0000  0101
1.027959312500000,0b  0000  0000  0000  0111
1.027960312500000,0b  0000  0000  0000  0101
1.027961312500000,0b  0000  0000  0000  0101
1.027962312500000,0b  0000  0000  0000  0111
1.027963312500000,0b  0000  0000  0000  0101
1.027964312500000,0b  0000  0000  0000  0101
1.027965312500000,0b  0000  0000  0000  0101
1.027966312500000,0b  0000  0000  0000  0101
1.027967312500000,0b  0000  0000  0000  0101
1.027968312500000,0b  0000  0000  0000  0111
1.027969312500000,0b  0000  0000  0000  0101
1.027970312500000,0b  0000  0000  0000  0101
1.027971312500000,0b  0000  0000  0000  0101
1.027972312500000,0b  0000  0000  0000  0101
1.027973312500000,0b  0000  0000  0000  0101
1.027974312500000,0b  0000  0000  0000  0101
1.027975312500000,0b  0000  0000  0000  0101
1.027976312500000,0b  0000  0000  0000  0101
1.027977312500000,0b  0000  0000  0000  0101
1.027978312500000,0b  0000  0000  0000  0101
1.027979312500000,0b  0000  0000  0000  0101
1.027980312500000,0b  0000  0000  0000  0111
1.027981312500000,0b  0000  0000  0000  0101
1.027982312500000,0b  0000  0000  0000  0101
1.027983312500000,0b  0000  0000  0000  0111
1.027984312500000,0b  0000  0000  0000  0101
1.027985312500000,0b  0000  0000  0000  0101
